bz=0 d=xx m=mu
0 -0.0001758291335240064 0.0001903896334153273
1 -1.972607705902894e-05 0.0001458211791867061
2 -2.567332375012128e-05 0.000144414549451801
3 -9.291236615388025e-06 0.0001862976568813024
4 7.187054649411215e-05 0.0001397277105183311
5 3.70234424880317e-05 0.000180668292421995
6 9.597685665612842e-05 0.0001516004538613091
7 6.602920743552347e-05 0.0001584490519112099
8 0.0001301771924231685 0.0001659205831224483
9 0.0001278642132553756 0.0001501197389708245
10 0.0001278678925166622 0.0001676193604539752
11 0.0001767643068301237 0.0001627676644089239
12 0.0001088821362402907 0.0001714301720652862
13 0.0001313312217131068 0.0001618044785332138
14 0.0001040490133516162 0.0001580670213586555
15 4.779258762931552e-05 0.000129211041350919
16 5.878285061610578e-05 0.0001033550440772048
17 3.79449993958235e-05 7.739999463153424e-05
18 2.053108053536002e-05 4.319360274163685e-05

bz=0 d=xx m=md
0 -0.0001758291335240064 0.0001903896334153273
1 -1.972607705902894e-05 0.0001458211791867061
2 -2.567332375012128e-05 0.000144414549451801
3 -9.291236615388025e-06 0.0001862976568813024
4 7.187054649411215e-05 0.0001397277105183311
5 3.70234424880317e-05 0.000180668292421995
6 9.597685665612842e-05 0.0001516004538613091
7 6.602920743552347e-05 0.0001584490519112099
8 0.0001301771924231685 0.0001659205831224483
9 0.0001278642132553756 0.0001501197389708245
10 0.0001278678925166622 0.0001676193604539752
11 0.0001767643068301237 0.0001627676644089239
12 0.0001088821362402907 0.0001714301720652862
13 0.0001313312217131068 0.0001618044785332138
14 0.0001040490133516162 0.0001580670213586555
15 4.779258762931552e-05 0.000129211041350919
16 5.878285061610578e-05 0.0001033550440772048
17 3.79449993958235e-05 7.739999463153424e-05
18 2.053108053536002e-05 4.319360274163685e-05

bz=0 d=xx m=ms
0 -0.0001179451249533234 5.930338831340872e-05
1 -4.180547441221064e-05 3.013622935718892e-05
2 -4.331062439718064e-05 2.927267799147311e-05
3 -4.043895986196936e-05 1.962867576203041e-05
4 -1.830602237536121e-05 1.822218979728474e-05
5 -2.26180000995627e-05 1.551688157462054e-05
6 -3.15421497600564e-06 1.222133674537784e-05
7 -4.620730160578519e-06 1.176624104276266e-05
8 1.374262241656719e-06 7.842313416969148e-06
9 1.249144275781904e-06 8.046631986899595e-06
10 3.119608065676598e-06 5.584875796908843e-06
11 4.509618179957579e-06 5.859071871787394e-06
12 4.396420524782883e-06 3.829634636188568e-06
13 3.850462054197659e-06 3.935296360115603e-06
14 3.915121151398473e-06 2.890467552331159e-06
15 2.032766850305186e-06 2.673078741498501e-06
16 3.422769169835066e-06 1.744053495656019e-06
17 1.028876033656373e-06 1.518563666553597e-06
18 1.316883909703962e-06 6.203555619547589e-07

bz=0 d=yy m=mu
0 -0.0003000234024472489 0.0002255440940152829
1 1.898616922813468e-05 8.737882641471021e-05
2 -0.0001433427877383232 0.0001439666486846379
3 0.0001114558813656655 0.0001072368659864198
4 -0.000137201598442081 0.0001433725575406434
5 8.563510230471341e-05 0.0001209416680488113
6 -0.0001441972520959025 0.0001569376423488836
7 1.385581071977404e-05 0.0001436888344561276
8 -0.0002257568145517391 0.0001599452688415429
9 1.498662186094397e-05 0.0001590669180284354
10 -0.0001506533319618069 0.0001559108755343076
11 3.7006697383124e-05 0.0001454971866839673
12 -5.49803096983616e-05 0.0001464844616669784
13 1.810850074678352e-05 0.0001341422555315899
14 -1.23404032635679e-05 0.0001180498295001271
15 5.635462060775845e-05 9.645241608265904e-05
16 2.013178535672628e-05 9.597943120570183e-05
17 9.34767843213886e-05 5.70430550781255e-05
18 4.061228113771455e-05 4.309612598414753e-05

bz=0 d=yy m=md
0 -0.0003000234024472489 0.0002255440940152829
1 1.898616922813468e-05 8.737882641471021e-05
2 -0.0001433427877383232 0.0001439666486846379
3 0.0001114558813656655 0.0001072368659864198
4 -0.000137201598442081 0.0001433725575406434
5 8.563510230471341e-05 0.0001209416680488113
6 -0.0001441972520959025 0.0001569376423488836
7 1.385581071977404e-05 0.0001436888344561276
8 -0.0002257568145517391 0.0001599452688415429
9 1.498662186094397e-05 0.0001590669180284354
10 -0.0001506533319618069 0.0001559108755343076
11 3.7006697383124e-05 0.0001454971866839673
12 -5.49803096983616e-05 0.0001464844616669784
13 1.810850074678352e-05 0.0001341422555315899
14 -1.23404032635679e-05 0.0001180498295001271
15 5.635462060775845e-05 9.645241608265904e-05
16 2.013178535672628e-05 9.597943120570183e-05
17 9.34767843213886e-05 5.70430550781255e-05
18 4.061228113771455e-05 4.309612598414753e-05

bz=0 d=yy m=ms
0 -0.000129728704287583 6.48491280004646e-05
1 -8.53070638962766e-07 4.000842601514218e-05
2 -4.912783926374489e-05 3.576857718028519e-05
3 1.999596751510243e-05 2.492368058148235e-05
4 -1.090203563287349e-05 2.273525289673381e-05
5 8.598803619983068e-06 1.618226056401584e-05
6 3.531993850041913e-06 1.40126350050942e-05
7 4.54214184044513e-06 9.982978832377115e-06
8 1.622002774523462e-06 8.990010976747024e-06
9 4.201855779598291e-06 7.154770886749673e-06
10 1.348688948304617e-06 6.158437722456843e-06
11 2.681252882478086e-06 5.408570454204126e-06
12 1.455789841811526e-06 4.069803326276196e-06
13 2.664182408160559e-06 3.952213653711568e-06
14 -2.1109536311087e-07 2.716393284148315e-06
15 2.318038412428521e-06 2.479078702716956e-06
16 -1.249498692616809e-07 1.726718386370903e-06
17 2.549636531272951e-06 1.286151530816804e-06
18 -1.313478492597612e-07 6.532740035648312e-07

bz=0 d=zz m=mu
0 -0.0001894904132764064 0.0002048514367193343
1 -5.179425978863766e-05 9.021024737716282e-05
2 -0.0001631242467231791 0.0001655233207457647
3 -6.091663274724199e-05 0.0001236315477597253
4 -0.0001820947257348101 0.0001621160292041715
5 3.895846924950042e-05 0.0001519760096837838
6 -0.0001552095539629067 0.0001627678743341746
7 3.046770039788116e-05 0.0001692122742658198
8 -2.559156919896632e-05 0.0001647035315387454
9 -5.803099853844809e-05 0.0001646937805141454
10 -5.317296265630324e-05 0.0001588671793314973
11 -9.126978251836013e-05 0.0001402147321635955
12 -0.0001111998694193609 0.0001486644403225202
13 -0.0001801092337014166 0.0001310214245012813
14 -5.372007580630508e-05 0.0001404813763028524
15 -0.0001662498158085535 0.0001253068816959028
16 4.145405746038406e-05 9.283748901863242e-05
17 -3.438833729412675e-05 8.355809535870564e-05
18 1.757320984584415e-05 4.181471894735283e-05

bz=0 d=zz m=md
0 -0.0001894904132764064 0.0002048514367193343
1 -5.179425978863766e-05 9.021024737716282e-05
2 -0.0001631242467231791 0.0001655233207457647
3 -6.091663274724199e-05 0.0001236315477597253
4 -0.0001820947257348101 0.0001621160292041715
5 3.895846924950042e-05 0.0001519760096837838
6 -0.0001552095539629067 0.0001627678743341746
7 3.046770039788116e-05 0.0001692122742658198
8 -2.559156919896632e-05 0.0001647035315387454
9 -5.803099853844809e-05 0.0001646937805141454
10 -5.317296265630324e-05 0.0001588671793314973
11 -9.126978251836013e-05 0.0001402147321635955
12 -0.0001111998694193609 0.0001486644403225202
13 -0.0001801092337014166 0.0001310214245012813
14 -5.372007580630508e-05 0.0001404813763028524
15 -0.0001662498158085535 0.0001253068816959028
16 4.145405746038406e-05 9.283748901863242e-05
17 -3.438833729412675e-05 8.355809535870564e-05
18 1.757320984584415e-05 4.181471894735283e-05

bz=0 d=zz m=ms
0 -7.998497486180213e-05 6.606912713726298e-05
1 -2.046816687416383e-05 2.936963925850163e-05
2 -2.058991680065936e-05 3.509313175979734e-05
3 -9.023565612372277e-06 2.227937376886069e-05
4 -1.058876902293696e-05 2.219115762513232e-05
5 7.464021637765036e-06 1.638417608810542e-05
6 -1.030309570117693e-05 1.462906098980506e-05
7 3.323834515688483e-06 1.296920522431148e-05
8 -8.680696997011591e-06 9.924395810716165e-06
9 2.255383750467664e-06 9.954805990121529e-06
10 -5.810766168098897e-06 6.766203116932994e-06
11 4.784983299674764e-07 6.494192895574013e-06
12 -3.549307189941934e-06 4.723820931861929e-06
13 2.302824683043e-09 4.090903103036009e-06
14 -9.815420606895054e-07 3.307791438212122e-06
15 -1.346487832913129e-07 2.580553686530549e-06
16 3.269715122436204e-07 2.054845341734093e-06
17 -1.779066213563127e-07 1.331923626048585e-06
18 1.204465079241432e-07 7.560813426792482e-07

