@type xydy
0 -8.7558458e-05 5.2378158e-11
1 7.8079321e-05 5.5749975e-12
2 -5.5189901e-05 1.6281232e-12
3 3.6811041e-05 9.650612e-13
4 -2.7392013e-05 3.6191601e-13
5 1.7538579e-05 3.8404704e-13
6 -1.2621045e-05 1.4009158e-13
7 1.0911199e-05 1.4072171e-13
8 -4.8331818e-06 8.3246815e-14
9 8.8904554e-06 8.6776536e-14
10 -8.018427e-07 4.592274e-14
11 7.8478561e-06 4.0725452e-14
12 9.3937327e-07 3.0482503e-14
13 6.929933e-06 2.5660541e-14
14 1.7764329e-06 1.8304259e-14
15 6.1881534e-06 1.1060151e-14
16 2.1817911e-06 1.2974253e-14
17 5.7340934e-06 1.1399782e-14
18 2.323917e-06 9.9112263e-15
19 5.6445425e-06 1.0803458e-14
20 2.362263e-06 6.7780234e-15
21 5.6796395e-06 1.0371671e-14
22 2.3569841e-06 7.6780643e-15
23 5.8505877e-06 1.2754395e-14
24 2.3104906e-06 9.5830125e-15
25 6.2842888e-06 1.5791149e-14
26 2.029651e-06 1.4493605e-14
27 6.9280535e-06 2.216884e-14
28 1.2031926e-06 2.931867e-14
29 7.8254446e-06 2.7866799e-14
30 -8.3855266e-07 6.541661e-14
31 8.9532881e-06 5.6159532e-14
32 -4.9304552e-06 1.3321258e-13
33 1.1124297e-05 1.5870348e-13
34 -1.2929511e-05 1.8661676e-13
35 1.7228557e-05 2.8557162e-13
36 -2.7938022e-05 4.1768656e-13
37 3.486637e-05 9.8112639e-13
38 -5.635691e-05 1.9590282e-12
39 7.1443043e-05 7.1947671e-12
&
