@type xydy
0 -106.6922493813718 853.4095847630781
0.001 -0.4725121998402691 2.228887385653866
0.002 -0.3320994366438278 1.304721327559945
0.003 -0.2805448525612342 1.011625301625646
0.004 -0.2535283922045736 0.8802501727169592
0.005 -0.2367489550796966 0.8092280892185403
0.006 -0.2252158215995739 0.7654429821182908
0.007 -0.2167323119121125 0.7355740668892954
0.008 -0.2101803997034802 0.7134952903360184
0.009 -0.2049309136299844 0.6961017230368108
0.01 -0.2006025928099833 0.6816968672337194
0.011 -0.1969508668269245 0.6692961556084996
0.012 -0.1938115852596656 0.658299064806927
0.013 -0.1910704329267975 0.6483236488896146
0.014 -0.1886453188823396 0.6391180936764564
0.015 -0.1864757424006222 0.6305110919334731
0.016 -0.1845161107991865 0.6223828215333244
0.017 -0.1827313955776377 0.6146473530300878
0.018 -0.1810942247717961 0.6072416460580261
0.019 -0.1795828863923572 0.6001184741374785
0.02 -0.1781799263648478 0.5932417624157162
0.021 -0.1768711441672575 0.5865834472592338
0.022 -0.1756448604597294 0.5801213187158908
0.023 -0.1744913744511527 0.5738375114552307
0.024 -0.1734025560014256 0.5677174319175391
0.025 -0.172371534956994 0.561748984095207
0.026 -0.1713924616922926 0.5559220030760103
0.027 -0.1704603205000821 0.5502278352790948
0.028 -0.1695707826912554 0.5446590236843132
0.029 -0.1687200898710499 0.5392090691612901
0.03 -0.1679049603882709 0.5338722476045535
0.031 -0.167122513752805 0.5286434684410161
0.032 -0.166370209111788 0.5235181641231902
0.033 -0.1656457948182336 0.5184922030518667
0.034 -0.1649472668207058 0.5135618203746929
0.035 -0.1642728341194876 0.5087235625397617
0.036 -0.1636208899228786 0.5039742425187774
0.037 -0.1629899874313953 0.499310903369978
0.038 -0.1623788194023904 0.4947307883674211
0.039 -0.1617862008206959 0.4902313163365067
0.04 -0.1612110541351806 0.4858100611450387
0.041 -0.1606523966260348 0.4814647345325923
0.042 -0.1601093295501167 0.4771931716383812
0.043 -0.1595810287770106 0.4729933187235967
0.044 -0.1590667366804477 0.4688632226887785
0.045 -0.158565755091386 0.4648010220678427
0.046 -0.1580774391525636 0.460804939243605
0.047 -0.1576011919414747 0.4568732736792117
0.048 -0.1571364597507717 0.4530043959989794
0.049 -0.1566827279331261 0.4491967427831317
